ts,load1,cpu_pct,mem_used_mb,mem_total_mb,gpu0_pct,gpu0_mem_mb,gpu1_pct,gpu1_mem_mb,gpu_temp
1787360786,1.27,3.9,11874,28012,24,7401,0,0,73
1787360788,1.25,3.5,11865,28012,24,7401,0,0,73
1787360790,1.25,3.6,11869,28012,22,7401,0,0,73
1787360792,1.23,3.9,12468,28012,11,7401,0,0,74
1787360794,1.23,3.9,12948,28012,20,7401,0,0,74
1787360797,1.21,3.6,12860,28012,20,7401,0,0,74
1787360799,1.21,3.5,12846,28012,22,7401,0,0,74
1787360801,1.21,3.8,12837,28012,21,7401,0,0,74
1787360803,1.20,3.8,12567,28012,16,7401,0,0,74
1787360805,1.20,3.6,12575,28012,24,7401,0,0,74
1787360807,1.18,3.5,12566,28012,25,7401,0,0,74
1787360809,1.18,3.6,12559,28012,25,7401,0,0,73
1787360812,1.25,3.7,11864,28012,91,7401,0,0,75
1787360814,1.25,4.1,11925,28012,20,7401,0,0,75
1787360816,1.25,3.7,11914,28012,20,7401,0,0,74
1787360818,1.23,3.6,11898,28012,22,7401,0,0,74
1787360820,1.23,3.7,11892,28012,18,7401,0,0,74
1787360822,1.21,4.0,11883,28012,22,7401,0,0,74
1787360824,1.21,3.6,11874,28012,89,7401,0,0,76
1787360826,1.27,3.8,12620,28012,11,7401,0,0,74
1787360829,1.27,3.5,13991,28012,5,7401,0,0,73
1787360831,1.27,3.9,13569,28012,0,7401,0,0,73
1787360833,1.25,3.5,11918,28012,20,7401,0,0,74
1787360835,1.25,3.5,11908,28012,23,7401,0,0,74
1787360837,1.23,3.5,11898,28012,25,7401,0,0,74
1787360839,1.23,3.9,11890,28012,25,7401,0,0,73
1787360841,1.23,3.8,11888,28012,22,7401,0,0,73
1787360844,1.29,3.6,11885,28012,25,7401,0,0,73
1787360846,1.29,3.5,11882,28012,26,7401,0,0,73
1787360848,1.27,4.0,11879,28012,25,7401,0,0,73
1787360850,1.27,3.7,11858,28012,27,7401,0,0,73
1787360852,1.33,3.6,11859,28012,27,7401,0,0,73
1787360854,1.33,3.6,11844,28012,25,7401,0,0,73
1787360856,1.33,3.7,11842,28012,27,7401,0,0,73
1787360859,1.38,3.8,11834,28012,28,7401,0,0,73
1787360861,1.38,3.6,11836,28012,28,7401,0,0,73
1787360863,1.35,3.8,11835,28012,20,7401,0,0,73
1787360865,1.35,3.6,11835,28012,97,7401,0,0,77
1787360867,1.32,4.8,12593,28012,12,7401,0,0,75
1787360869,1.32,3.5,11911,28012,21,7401,0,0,74
1787360871,1.32,3.6,11902,28012,21,7401,0,0,74
1787360873,1.30,3.6,11898,28012,13,7401,0,0,74
1787360876,1.30,3.9,11894,28012,24,7401,0,0,73
1787360878,1.27,3.7,11893,28012,25,7401,0,0,73
1787360880,1.27,3.5,11905,28012,26,7401,0,0,73
1787360882,1.33,3.8,11884,28012,22,7401,0,0,73
1787360884,1.33,3.7,11884,28012,26,7401,0,0,73
